Date,Close,High,Low,Open,Volume,AssetID,AssetName,Ticker,AssetType,Sector,Logo
01-01-2021,562.5928955,565.8953276,552.7799314,559.0545754,8229768,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
04-01-2021,570.2827759,575.0477013,561.6020871,566.1311246,11329298,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
05-01-2021,569.3865356,574.3401843,566.1312693,574.1042962,7790158,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
06-01-2021,571.132019,576.4631109,562.4985527,569.9997451,6422080,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
07-01-2021,567.9240112,573.6796558,564.2441351,571.8397177,4555702,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
08-01-2021,585.756958,587.6440616,569.905299,572.7359544,11451416,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
11-01-2021,585.9458618,592.5507266,579.3881631,588.493464,7516087,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
12-01-2021,575.2365112,588.6821275,572.7832414,585.9458036,6747035,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
13-01-2021,568.3013306,579.8126759,563.5364047,576.5102441,6186661,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
14-01-2021,572.7832642,577.1236382,562.7344693,568.3013919,6730284,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
15-01-2021,570.1884766,581.9828769,564.3384425,574.6231826,8389544,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
18-01-2021,548.6283569,573.0663207,545.7977008,569.9997765,7414570,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
19-01-2021,562.8759155,568.9618372,550.421018,553.7706736,5500391,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
20-01-2021,561.1304321,569.5280111,559.479216,567.2635206,5182972,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
21-01-2021,549.996582,564.9518609,547.8735897,564.2441967,4546393,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
22-01-2021,542.7310791,553.8178142,538.3907057,549.9964404,5591688,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
25-01-2021,553.2988892,560.469861,534.9939582,544.5238099,8149590,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
27-01-2021,537.6359253,552.8271473,531.9274471,552.8271473,8534047,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
28-01-2021,532.4935913,542.0706679,519.3310859,523.5770703,9863454,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
29-01-2021,553.1102295,566.1312364,522.8221738,535.9375705,22539938,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
01-02-2021,556.8373413,565.565199,546.8828198,562.3570985,12621971,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
02-02-2021,575.0477905,582.0772646,558.1110202,563.2533903,15788247,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
03-02-2021,593.6828613,611.7990692,576.0384294,577.9255332,23788455,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
04-02-2021,595.8530884,604.8168324,590.8994404,596.7966404,7926593,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
05-02-2021,598.9197388,607.8834844,587.9745567,597.7402986,10981738,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
08-02-2021,598.8252563,608.44944,596.8437627,604.7224559,6479801,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
09-02-2021,593.5427856,608.4384871,591.0681275,601.4427765,5794015,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
10-02-2021,596.8740234,601.1095469,584.5006179,593.0192433,6902162,18,Sun Pharmaceutical,SUNPHARMA.NS,Stock,Pharmaceuticals,https://1drv.ms/i/c/8705623eb284e7df/IQT7NBksGIXPQbtX7nAuZdpnAeqjUxouhTmTy6h25_ogYEc?width=1000&height=1000
